INDEX,NAME,SHIRTNAME,JAPANESE PLAYER NAME,SPACING,COMMENTARY,AGE,NATIONALITY,FOOT,WEIGHT,HEIGHT,FORM,WEAK FOOT ACCURACY,WEAK FOOT FREQUENCY,INJURY TOLERANCE,GROWTH TYPE,MARKET PRICE,GK 0,SW 1,CB 2,LB 3,RB 4,DMF 5,CMF 6,LMF 7,RMF 8,AMF 9,LWF 10,RWF 11,SS 12,CF 13,POSITION,ATTACK,DEFENCE,HEADER ACCURACY,DRIBBLE ACCURACY,SHORT PASS ACCURACY,SHORT PASS SPEED,LONG PASS ACCURACY,LONG PASS SPEED,SHOT ACCURACY,PLACE KICKING,SWERVE,BALL CONTROLL,GOAL KEEPING SKILLS,RESPONSE,EXPLOSIVE POWER,DRIBBLE SPEED,TOP SPEED,BODY BALANCE,STAMINA,KICKING POWER,JUMP,TENACITY,TEAMWORK,S01 1-TOUCH PLAY,S02 OUTSIDE CURVE,S03 LONG THROW,S04 SUPER-SUB,S05 SPEED MERCHANT,S06 LONG RANGE DRIVE,S07 SHOULDER FEINT SKILLS,S08 TURNING SKILLS,S09 ROULETTE SKILLS,S10 FLIP FLAP SKILLS,S11 FLICKING SKILLS,S12 SCISSORS SKILLS,S13 STEP ON SKILLS,S14 DEFT TOUCH SKILLS,S15 KNUCKLE SHOT,S16 JUMPING VOLLEY,S17 SCISSOR KICK,S18 HEEL FLICK,S19 WEIGHTED PASS,S20 DOUBLE TOUCH,S21 RUN AROUND,S22 SOMBRERO,S23 180 DRAG,S24 LUNGING TACKLE,S25 DIVING HEADER,S26 GK LONG THROW,P01 CLASSIC NO.10,P02 ANCHOR MAN,P03 TRICKSTER,P04 DARTING RUN,P05 MAZING RUN,P06 PINPOINT PASS,P07 EARLY CROSS,P08 BOX TO BOX,P09 INCISIVE RUN,P10 LONG RANGER,P11 ENFORCER,P12 GOAL POACHER,P13 DUMMY RUNNER,P14 FREE ROAMING,P15 TALISMAN,P16 FOX IN THE BOX,P17 OFFENSIVE SIDEBACK,P18 TRACK BACK,ATTACK AWARENESS,DEFENCE AWARENESS,SKIN COLOR,SKIN TEXTURE,FACE MODE,LINKED FACE,FACE SLOT,LINKED HAIR,HAIR SLOT,BOOTS,UNTUCKED SHIRT,TIGHT KIT,GLOVES,DRIBBLE STYLE,FREE KICK STYLE,PENALTY KICK STYLE,DROP KICK STYLE,GOAL CELEBRATION STYLE #1,GOAL CELEBRATION STYLE #2,CLUB TEAM,NUMBER,NATIONAL TEAM
72,ABE,ABE,阿部 勇樹,2,0,31,Japan,R,77,177,7,4,4,B,26,3,0,1,1,0,1,1,1,0,0,0,0,0,0,0,DMF,63,72,82,72,75,72,75,75,68,75,82,76,50,78,73,70,74,75,80,76,79,70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,Special,1,723,1,4798,18,0,0,0,1,10,1,1,0,0,JAPAN,35,
162,ISHIKAWA,ISHIKAWA,石川 直宏,2,0,31,Japan,R,70,175,5,7,7,C,84,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,RMF,73,44,66,78,73,74,76,77,73,71,73,78,50,70,82,83,82,71,75,79,70,74,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2,1,Special,1,1604,1,5679,28,0,0,0,4,1,1,1,0,0,JAPAN,45,
220,MAEDA,MAEDA,前田 遼一,2,0,30,Japan,R,80,183,5,5,6,B,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CF,77,46,80,80,76,73,74,75,76,70,72,84,50,78,75,78,75,81,82,77,78,72,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,1,Special,1,1144,1,5219,26,1,0,0,1,1,1,1,0,0,,18,JAPAN
250,ENDO,ENDO,遠藤 保仁,2,812,32,Japan,R,73,178,4,5,4,A,13,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,CMF,75,68,70,79,84,79,83,76,73,82,83,82,50,71,67,71,72,75,81,75,71,72,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,1,Special,1,726,1,4801,22,1,0,0,1,7,3,1,0,0,,7,JAPAN
277,OKUBO,OKUBO,大久保 嘉人,2,0,30,Japan,R,73,170,4,6,5,B,152,2,0,0,0,0,0,0,0,1,1,1,0,0,1,1,SS,73,50,77,77,77,74,74,72,73,67,65,79,50,81,80,76,78,78,82,72,82,75,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,2,1,Special,1,1143,1,5218,5,0,0,0,2,1,1,1,0,0,JAPAN,42,
329,KOMANO,KOMANO,駒野 友一,2,0,31,Japan,R,76,172,7,5,5,A,3,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,RB,68,67,68,73,70,74,78,80,63,74,78,71,50,73,76,74,76,71,86,79,75,71,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,Special,1,732,1,4807,25,0,0,1,1,8,1,1,0,0,,3,JAPAN
450,EMERSON,EMERSON,エメルソン,2,805,34,Qatar,R,69,170,3,5,5,B,47,2,0,0,0,0,0,0,0,1,1,0,1,1,1,1,CF,80,43,70,75,66,65,67,67,80,71,70,75,50,79,78,85,86,75,70,76,77,58,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,Default,0,131,0,4215,20,0,0,0,1,1,1,1,0,0,SC CORINTHIANS,11,
557,PARK JI SUNG,PARK,パク チソン,2,2028,31,South Korea,R,73,178,6,6,6,A,76,6,0,0,0,0,0,1,1,1,1,1,1,1,1,0,AMF,79,65,79,81,82,82,80,74,74,76,73,82,50,86,84,81,83,80,87,76,73,85,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2,1,Special,1,805,1,4880,7,0,0,0,1,8,4,1,96,0,QUEENS PARK RANGERS,7,
673,HAYASHI,HAYASHI,林 卓人,2,0,30,Japan,R,87,188,6,4,4,B,66,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,30,77,55,58,61,63,62,64,45,45,45,60,78,86,69,54,70,81,60,82,75,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,Special,1,1832,1,5907,24,0,0,0,1,1,1,4,0,0,JAPAN,27,
721,DUNNE,DUNNE,ダン,2,753,33,Ireland,R,95,188,7,5,4,A,20,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,CB,53,85,82,71,73,72,73,70,63,72,64,72,50,81,65,67,80,88,76,86,77,82,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,Special,1,640,1,4715,22,1,0,0,1,8,1,1,0,0,ASTON VILLA FC,5,IRELAND
723,HARTE,HARTE,ハート,2,0,35,Ireland,L,74,175,4,7,6,A,77,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,LB,72,60,65,74,74,77,81,88,67,84,92,72,50,72,71,72,72,72,74,87,71,68,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,Default,0,131,0,4316,21,0,0,0,1,1,1,1,0,0,READING FC,23,
729,ROBBIE KEANE,R. KEANE,ロビー キーン,2,2221,32,Ireland,R,64,175,5,6,5,A,198,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CF,84,38,70,76,75,75,72,73,84,65,69,80,50,85,82,73,77,74,75,75,74,87,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,1,1,Special,1,629,1,4704,8,0,0,0,1,1,1,1,29,0,,10,IRELAND
