Player ID,Name,Nationality,Club,Registered Position,Age,Overall Rating,Technique Rating,Speed Rating,Physical Rating,Resistance Rating,Attack,Defence,Header Accuracy,Dribble Accuracy,Short Pass Accuracy,Short Pass Speed,Long Pass Accuracy,Long Pass Speed,Shot Accuracy,Place Kicking,Swerve,Ball Control,Goal Keeping Skills,Response,Explosive Power,Dribble Speed,Top Speed,Body Balance,Stamina,Kicking Power,Jump,Tenacity,Teamwork,Form,Weak Foot Acc.,Weak Foot Freq.,Attack Awareness,Defence Awareness,GK,SWP,CB,RB,LB,DMF,CMF,RMF,LMF,AMF,RWF,LWF,SS,CF,Stronger Foot,Injury Tolerance,S01 One Touch Play,S02 Outside Curve,S03 Long Throw,S04 Super Sub,S05 Speed Merchant,S06 Long Range Drive,S07 Shoulder Feint Skills,S08 Turning Skills,S09 Roulette Skills,S10 Flip Flap Skills,S11 Flicking Skills,S12 Scissors Skills,S13 Step On Skills,S14 Side Stepping Skills,P01 Classic No.10,P02 Anchor Man,P03 Trickster,P04 Darting Run,P05 Mazing Run,P06 Pinpoint Pass,P07 Early Cross,P08 Box To Box,P09 Incisive Run,P10 Long Ranger,P11 Enforcer,P12 Goal Poacher,P13 Dummy Runner,P14 Free Roaming,P15 Tails Man,P16 Fox In The Box,P17 Offensive Sideback,P18 Track Back
220,MAEDA,Japan,,CF,29,71,C,C,C,C,76,46,80,80,76,73,74,75,76,70,72,84,50,78,75,78,75,81,82,77,78,73,75,5,5,6,3,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True,Right,B,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,False,True
250,ENDO,Japan,,CMF,31,80,C,D,C,C,75,68,70,79,84,79,83,76,73,86,84,82,50,71,67,71,69,73,85,75,69,72,83,6,6,5,2,3,False,False,False,False,False,True,True,False,False,True,False,False,False,False,Right,A,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,False,False
450,EMERSON,Qatar,CORINTHIANS,CF,32,65,D,B,C,E,72,27,70,75,66,65,67,67,75,71,70,75,50,78,78,85,86,75,70,76,77,58,65,3,5,5,3,2,False,False,False,False,False,False,False,False,False,False,True,True,False,True,Right,B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,False,False
557,PARK JI SUNG,South Korea,MANCHESTER UNITED,AMF,30,80,C,B,C,B,80,65,79,81,83,81,80,74,80,77,73,82,50,87,85,81,84,79,88,75,73,85,90,7,6,6,3,3,False,False,False,False,False,True,True,True,True,True,True,True,True,False,Right,A,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,False,False
558,MATSUI,Japan,DIJON FCO,RMF,30,72,C,C,C,D,74,49,67,85,76,74,78,75,70,72,74,84,50,75,80,77,73,69,73,73,79,71,70,3,7,7,3,3,False,False,False,False,False,False,False,True,True,True,True,True,True,False,Right,B,False,True,False,False,False,False,False,False,True,False,True,True,True,True,,,,,,,,,,,,,,,,,False,False
721,DUNNE,Ireland,ASTON VILLA FC,CB,32,83,D,D,B,C,53,87,82,71,73,72,73,70,63,72,64,72,50,78,65,67,81,88,76,86,77,82,80,7,5,4,2,3,False,False,True,True,False,False,False,False,False,False,False,False,False,False,Right,A,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,False,False
726,KILBANE,Ireland,,LMF,34,76,C,C,C,C,72,64,83,82,74,78,80,84,64,77,80,79,50,73,73,79,77,80,80,77,79,78,81,6,4,4,2,2,False,False,True,False,True,False,True,False,True,False,False,False,False,False,Left,B,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,False,False
729,R. KEANE,Ireland,,CF,31,69,D,B,C,B,84,40,70,77,73,68,70,68,83,65,70,80,50,87,85,80,82,74,85,78,74,87,78,6,5,5,3,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True,Right,A,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,False,False
736,DUFF,Ireland,FULHAM FC,LMF,32,82,C,B,C,B,77,55,67,86,78,80,78,79,78,73,84,83,50,82,86,82,77,78,83,78,70,80,83,5,6,6,3,2,False,False,False,True,True,False,False,True,True,True,True,True,True,False,Left,C,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,False,False
737,DELAP,Ireland,STOKE CITY,CMF,35,74,D,C,C,C,74,63,73,77,76,75,79,74,67,65,69,77,50,72,75,77,75,72,81,77,73,71,78,4,5,5,2,2,False,False,False,True,True,False,True,True,True,False,False,False,False,False,Right,C,True,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,False,False
